InstrumentID,SymbolFull
10,EURJPY
14,AUDJPY
16,CHFJPY
18,GOLD
33,AUS200
47,AUDCAD
382,LUMBER.FUT
429,USDBRL
563,Quantum
1013,CSCO
1085,EFV
1089,IEI
1097,IGIB
1107,CX
1113,LVS
1148,KDP
1175,EVVAQ
1176,XIFR
1190,CXM
1202,SAP.DE
1233,AI.PA
1239,CA.PA
1244,EL.PA
1250,KER.PA
1254,ML.PA
1260,RNO.PA
1280,CPR.MI
1318,BKT.MC
1325,FER.MC
1336,OHLA.MC
1341,GEV
1360,SGGD.L
1378,JD.US
1380,ATHM.CH
1392,VSS
1442,IB01.L
1457,PSKY
1468,SWC.L
1539,IP.US
1555,FCX
1568,DVN
1569,PGR
1598,BK
1608,OMC
1620,WM
1630,YUM
1637,ED
1639,J
1664,SRE
1665,EL
1677,AIZ
1681,GWW
1696,AZO
1700,CNP
1705,CCK
1711,DRI
1732,UGI
1768,OSK
1769,CE
1824,NAVI
1838,LAD
1853,OC
1866,ABM
1870,WEC
1902,AJG
1916,PII
1943,CNO
1973,SGMO
1978,RMS.PA
1980,EVO.ST
2012,BAB.L
2058,NXT.L
2062,PSN.L
2083,SN.L
2084,FRAS
2088,TATE.L
2108,BAKKA.OL
2123,DOCS.L
2135,ENOG.L
2167,AML.L
2227,SUBC.OL
2239,SHB-A.ST
2243,ATCO-A.ST
2251,ORRON.ST
2271,GMAB.CO
2278,SSABAH.HE
2296,CBU
2303,1288.HK
2348,1618.HK
2385,02196.HK
2402,9988.HK
2410,151.HK
2439,HTH
2458,STERV.HE
2467,RCI
2469,MSEX
2472,HE
2479,BAK
2493,AMD.RTH
2509,NDX1.DE
2530,BNR.DE
2550,SHL.DE
2554,KBX.DE
2556,MTX.DE
2565,DWS.DE
2582,DUE.DE
2586,PUM.DE
2594,SFTGQ
2650,SHC.L
2652,TMPL.L
2685,BKG.L
2713,INVP.L
2719,SAFE.L
2730,MNKS.L
2748,RS1.L
2750,TEM.L
2758,TBCG.L
2793,SCT.L
2823,PSH.L
2828,VOF.L
2845,GAW.L
2850,CTEC.L
2862,IS04.DE
2870,BRK.B.RTH
2881,WBTN
2894,KNF
2917,ZPDT.DE
2926,INDUEX.DE
2966,EQT.ST
2977,TRET.DE
2982,SXR4.DE
2988,IS0Z.DE
2996,BMPS.MI
3031,TPRO.MI
3143,IJR
3170,BLV
3202,NAIL
3206,OIH
3218,SCHE
3242,UCO
3256,VOX
3263,ALKB.CO
3287,SYENS.BR
3300,AYEW.DE
3330,BOQ.ASX
3333,VEA.ASX
3377,VGAD.ASX
3423,KOLD
3434,CSPX.L
3533,BPSO.MI
3539,TGYM.MI
3544,SES.MI
3551,GVS.MI
3575,ARG.PA
3588,TKO.PA
3677,GFT.DE
3952,IUSU.DE
4062,GHC
4075,IBKR
4114,MWA
4133,QSR
4141,SBAC
4142,SBNY
4166,SGI
4167,TRMB
4179,VRTX
4209,POST
4220,BAMI.MI
4244,ASML
4251,ISRG
4259,PLD
4303,DTE
4340,TWLO
4366,BR
4432,MCHI
4435,BHF
4442,XLRE
4454,XDJP.L
4526,KPN.NV
5074,GRWG
5101,NNOX
5145,DOX
5263,MANH
5505,CHWY
5526,LOG.MC
5664,JMIA
5666,XXII
5696,TEL.US
5699,WGO
5724,AMBUB.CO
5726,FLS.CO
5741,GBLB.BR
5775,SESG.PA
5832,TECN.ZU
5970,KMT
5976,BMRN
6066,REXR
6079,PEB
6083,FRPT
6084,EXEL
6117,VCYT
6129,SBRA
6205,CLSK
6213,PUBM
6249,MITK
6295,VUZI
6341,MNKD
6378,ALNY
6387,BBIO
6388,BCRX
6422,FIZZ
6426,GIII
6449,INO
6463,LXRX
6503,PLCE
6520,RPRX
6526,SABR
6540,SPWH
6544,SVC
6558,UTHR
6571,XNET
6575,ZG
6588,AKR
6589,ALX
6591,AMC
6604,AU
6627,BXMT
6638,CP
6661,CUZ
6664,CWK.US
6667,DBI
6670,DIN
6678,ZIM
6709,FUN.US
6753,JBGS
6818,PK
6848,SHO
6872,TECK
6878,TTI
6895,VICI
6907,WTI
6962,NOBL
7006,RIO.ASX
7037,BSL.ASX
7068,JBH.ASX
7074,AZJ.ASX
7084,IOO.ASX
7103,MP1.ASX
7106,ORA.ASX
7126,SYR.ASX
7131,NAN.ASX
7136,PNV.ASX
7137,FBU.ASX
7161,HMC.ASX
7702,BNS
7736,GDS
7874,GLPG
7884,GCT
7927,MCY
7988,RNW
8048,DASH.US
8607,ICL
8659,AQN
8695,CENTA
8698,BCE
8748,URA
8754,AAPL.RTH
8755,NIO.RTH
8796,WTEC.L
8847,ACGL
8868,CNXC
8879,CFR
8906,ASTH
8917,EVR
8926,CERT
8932,AVNT.US
8936,STAA
8945,MC
8951,MTG
8967,POR
8973,FRHC
9020,WOOF
9044,COLB
9057,MDRX
9073,WAL
9084,WK
9111,CWH
9117,KLIC
9134,PSFE
9267,OTLY
9269,TASK
9423,ADBE.RTH
9456,TMDX
9462,AAOI
9489,MAXN
9490,AAON
9547,ATEC
9561,ACA.US
9570,VIST
9631,PLRX
9698,CWAN
9704,CBZ
9712,COHU
9772,EVLV
9784,MGEE
9814,POWL
9818,AMWD
9820,KURA
9825,TRN.US
9837,DFH
9848,CNNE
9894,DCGO
9955,WINA
9971,TTEC
9978,IMXI
9997,CNDA
10019,ARMX.AE
10021,DEYAAR.AE
10084,PHVS
10139,HTBK
10152,TRST
10162,TYRA
10172,KRNY
10204,EWTX
10205,IBCP
10231,ALXO
10232,SHBI
10252,IBEX
10264,KALV
10266,ANIK
10313,ASUR
10323,OPRT
10334,ATOM.US
10338,VABK
10362,FLL
10364,ULBI
10376,WF
10384,EVEX
10413,NX
10441,REX
10449,AMTB
10464,MCS.US
10468,BOC
10494,SBDS
10495,DSX
10508,PACK
10559,XEON.DE
10563,EDM2.DE
10565,IS3M.DE
10574,VGVE.DE
10579,ZPRI.DE
10585,IBCI.DE
10618,SXDPEX.DE
10636,IUSS.DE
10645,SXIPEX.DE
10661,LILMF
10673,NXDR
10698,AUR
